2025-02-21 15:28:39,167 - __main__ - INFO - 大漠插件版本: 7.2450
2025-02-21 15:28:39,168 - mouse_tracker - INFO - 当前光标位置: x=688, y=243
2025-02-21 15:28:39,669 - mouse_tracker - INFO - 当前光标位置: x=686, y=251
2025-02-21 15:28:40,184 - mouse_tracker - INFO - 当前光标位置: x=681, y=257
2025-02-21 15:28:40,685 - mouse_tracker - INFO - 当前光标位置: x=681, y=257
2025-02-21 15:28:41,196 - mouse_tracker - INFO - 当前光标位置: x=828, y=348
2025-02-21 15:28:41,698 - mouse_tracker - INFO - 当前光标位置: x=1258, y=667
2025-02-21 15:28:42,202 - mouse_tracker - INFO - 当前光标位置: x=940, y=662
2025-02-21 15:28:42,705 - mouse_tracker - INFO - 当前光标位置: x=940, y=662
2025-02-21 15:28:43,209 - mouse_tracker - INFO - 当前光标位置: x=696, y=616
2025-02-21 15:28:43,713 - mouse_tracker - INFO - 当前光标位置: x=659, y=650
2025-02-21 15:28:44,214 - mouse_tracker - INFO - 当前光标位置: x=737, y=597
2025-02-21 15:28:44,716 - mouse_tracker - INFO - 当前光标位置: x=609, y=466
2025-02-21 15:28:45,217 - mouse_tracker - INFO - 当前光标位置: x=548, y=347
2025-02-21 15:28:45,721 - mouse_tracker - INFO - 当前光标位置: x=460, y=397
2025-02-21 15:28:46,225 - mouse_tracker - INFO - 当前光标位置: x=451, y=453
2025-02-21 15:28:46,726 - mouse_tracker - INFO - 当前光标位置: x=450, y=468
2025-02-21 15:28:47,228 - mouse_tracker - INFO - 当前光标位置: x=164, y=212
2025-02-21 15:28:47,733 - mouse_tracker - INFO - 当前光标位置: x=164, y=212
2025-02-21 15:28:48,237 - mouse_tracker - INFO - 当前光标位置: x=164, y=212
2025-02-21 15:28:48,743 - mouse_tracker - INFO - 当前光标位置: x=162, y=214
2025-02-21 15:28:49,249 - mouse_tracker - INFO - 当前光标位置: x=162, y=214
2025-02-21 15:28:49,762 - mouse_tracker - INFO - 当前光标位置: x=162, y=214
2025-02-21 15:28:50,263 - mouse_tracker - INFO - 当前光标位置: x=966, y=416
2025-02-21 15:28:50,771 - mouse_tracker - INFO - 当前光标位置: x=159, y=279
2025-02-21 15:28:51,285 - mouse_tracker - INFO - 当前光标位置: x=159, y=278
2025-02-21 15:28:51,789 - mouse_tracker - INFO - 当前光标位置: x=152, y=391
2025-02-21 15:28:52,293 - mouse_tracker - INFO - 当前光标位置: x=798, y=565
2025-02-21 15:28:52,800 - mouse_tracker - INFO - 当前光标位置: x=855, y=908
2025-02-21 15:28:53,196 - mouse_tracker - INFO - 鼠标跟踪已停止
